id,publication_year,cited_by_count,author_ids
https://openalex.org/W3011737145,2020,34,"['https://openalex.org/A5059787882', 'https://openalex.org/A5020199695', 'https://openalex.org/A5020744129', 'https://openalex.org/A5069885186']"
https://openalex.org/W3017930272,2020,32,"['https://openalex.org/A5079213654', 'https://openalex.org/A5008036750', 'https://openalex.org/A5060391140']"
https://openalex.org/W4226353085,2022,21,"['https://openalex.org/A5002621773', 'https://openalex.org/A5022683477', 'https://openalex.org/A5075466372', 'https://openalex.org/A5089413311']"
https://openalex.org/W2316644690,2012,46,"['https://openalex.org/A5101471083', 'https://openalex.org/A5013689593', 'https://openalex.org/A5026465152', 'https://openalex.org/A5089413311', 'https://openalex.org/A5102416863', 'https://openalex.org/A5108060642', 'https://openalex.org/A5101579713', 'https://openalex.org/A5033277467', 'https://openalex.org/A5029202568', 'https://openalex.org/A5054236740', 'https://openalex.org/A5100690715', 'https://openalex.org/A5102024430', 'https://openalex.org/A5001571390']"
https://openalex.org/W2153730304,2014,40,"['https://openalex.org/A5045719162', 'https://openalex.org/A5009367144', 'https://openalex.org/A5074089902', 'https://openalex.org/A5007026183', 'https://openalex.org/A5009047696', 'https://openalex.org/A5018634475']"
https://openalex.org/W2133504659,2013,37,"['https://openalex.org/A5022951041', 'https://openalex.org/A5020563993', 'https://openalex.org/A5021090586', 'https://openalex.org/A5016657852']"
https://openalex.org/W2552525247,2017,35,"['https://openalex.org/A5069999998', 'https://openalex.org/A5079213654', 'https://openalex.org/A5015101188', 'https://openalex.org/A5065212455', 'https://openalex.org/A5008241947', 'https://openalex.org/A5063503467', 'https://openalex.org/A5081561537', 'https://openalex.org/A5083648748', 'https://openalex.org/A5015182112', 'https://openalex.org/A5011552000', 'https://openalex.org/A5062278355', 'https://openalex.org/A5110457086', 'https://openalex.org/A5032356059', 'https://openalex.org/A5018084987', 'https://openalex.org/A5006345545', 'https://openalex.org/A5055098593', 'https://openalex.org/A5000372036', 'https://openalex.org/A5060300673', 'https://openalex.org/A5048987475', 'https://openalex.org/A5069429192', 'https://openalex.org/A5108107515', 'https://openalex.org/A5047816295', 'https://openalex.org/A5035791407', 'https://openalex.org/A5043952261', 'https://openalex.org/A5019799375', 'https://openalex.org/A5056492632', 'https://openalex.org/A5031038372', 'https://openalex.org/A5076189854']"
https://openalex.org/W2564474075,2016,34,"['https://openalex.org/A5089413311', 'https://openalex.org/A5084649058', 'https://openalex.org/A5089539629']"
https://openalex.org/W3100000486,2016,34,"['https://openalex.org/A5110722369', 'https://openalex.org/A5110722370', 'https://openalex.org/A5055098593', 'https://openalex.org/A5000372036', 'https://openalex.org/A5008241947', 'https://openalex.org/A5079213654', 'https://openalex.org/A5110740497', 'https://openalex.org/A5050709996', 'https://openalex.org/A5102851505', 'https://openalex.org/A5069999998', 'https://openalex.org/A5110474153', 'https://openalex.org/A5105144128', 'https://openalex.org/A5065212455', 'https://openalex.org/A5070462258', 'https://openalex.org/A5043952261', 'https://openalex.org/A5108728494', 'https://openalex.org/A5108728495', 'https://openalex.org/A5015182112', 'https://openalex.org/A5108107515', 'https://openalex.org/A5083648748', 'https://openalex.org/A5081561537', 'https://openalex.org/A5100735225', 'https://openalex.org/A5058243384', 'https://openalex.org/A5046880021', 'https://openalex.org/A5060012188', 'https://openalex.org/A5074849261', 'https://openalex.org/A5091849814', 'https://openalex.org/A5110457086', 'https://openalex.org/A5105841236', 'https://openalex.org/A5019799375', 'https://openalex.org/A5034511947', 'https://openalex.org/A5109478536', 'https://openalex.org/A5038248470', 'https://openalex.org/A5048987475', 'https://openalex.org/A5046276670', 'https://openalex.org/A5031038372', 'https://openalex.org/A5076189854']"
https://openalex.org/W2600238332,2017,33,"['https://openalex.org/A5081658553', 'https://openalex.org/A5036580072', 'https://openalex.org/A5021090586', 'https://openalex.org/A5059159655']"
https://openalex.org/W2966403213,2019,31,"['https://openalex.org/A5014082558', 'https://openalex.org/A5024396732', 'https://openalex.org/A5059787882', 'https://openalex.org/A5069885186', 'https://openalex.org/A5014103152', 'https://openalex.org/A5003579441', 'https://openalex.org/A5078273409', 'https://openalex.org/A5052521665', 'https://openalex.org/A5029805143', 'https://openalex.org/A5020199695']"
https://openalex.org/W2961637048,2019,30,"['https://openalex.org/A5005806296', 'https://openalex.org/A5063360427', 'https://openalex.org/A5059787882', 'https://openalex.org/A5069885186', 'https://openalex.org/A5078374749', 'https://openalex.org/A5079588783', 'https://openalex.org/A5064152560', 'https://openalex.org/A5039724817', 'https://openalex.org/A5073073131']"
https://openalex.org/W3168255966,2021,25,"['https://openalex.org/A5101888873', 'https://openalex.org/A5078672329', 'https://openalex.org/A5089413311']"
https://openalex.org/W3159343375,2021,24,"['https://openalex.org/A5080665667', 'https://openalex.org/A5044691513', 'https://openalex.org/A5020702008', 'https://openalex.org/A5041694845', 'https://openalex.org/A5019731112', 'https://openalex.org/A5081136701', 'https://openalex.org/A5020153026', 'https://openalex.org/A5089413311']"
https://openalex.org/W4287208198,2021,24,"['https://openalex.org/A5052391231', 'https://openalex.org/A5068178240', 'https://openalex.org/A5039411900', 'https://openalex.org/A5049073875', 'https://openalex.org/A5058408154']"
https://openalex.org/W3206532213,2021,23,"['https://openalex.org/A5006745752', 'https://openalex.org/A5065827571', 'https://openalex.org/A5084435682', 'https://openalex.org/A5069885186', 'https://openalex.org/A5024396732', 'https://openalex.org/A5070491108', 'https://openalex.org/A5059787882', 'https://openalex.org/A5107971868', 'https://openalex.org/A5013813259', 'https://openalex.org/A5033081182']"
https://openalex.org/W4308827648,2022,15,"['https://openalex.org/A5030471602', 'https://openalex.org/A5112487958', 'https://openalex.org/A5007056150', 'https://openalex.org/A5110669819', 'https://openalex.org/A5001729445', 'https://openalex.org/A5084649058', 'https://openalex.org/A5089413311']"
https://openalex.org/W67526797,2012,36,"['https://openalex.org/A5078856847', 'https://openalex.org/A5036150572', 'https://openalex.org/A5080065190', 'https://openalex.org/A5016467897', 'https://openalex.org/A5077909082', 'https://openalex.org/A5080105491', 'https://openalex.org/A5009047696', 'https://openalex.org/A5074089902']"
https://openalex.org/W2122473190,1968,35,"['https://openalex.org/A5028932589', 'https://openalex.org/A5082649012', 'https://openalex.org/A5114065959', 'https://openalex.org/A5087024689', 'https://openalex.org/A5029484704']"
https://openalex.org/W1926505397,2015,32,"['https://openalex.org/A5079213654', 'https://openalex.org/A5060391140', 'https://openalex.org/A5008036750']"
https://openalex.org/W1780154823,2015,31,"['https://openalex.org/A5059787882', 'https://openalex.org/A5077743516', 'https://openalex.org/A5048738205', 'https://openalex.org/A5079596102', 'https://openalex.org/A5031799782']"
https://openalex.org/W2576592220,2014,31,"['https://openalex.org/A5089413311', 'https://openalex.org/A5100550303', 'https://openalex.org/A5089539629']"
